PackID,CycleNumber,Capacity(Ah),SOH(%),RUL(cycles),Voltage(V),Current(A),DoD(%),Temperature(C),Cell1_V,Cell2_V,Cell3_V,Cell4_V,Cell5_V,Cell6_V,Cell7_V,Cell8_V
1,1,39.9997573,99.99939325,2999,25.6596057,25.49921836,0.033333333,27.65756648,3.20702038,3.202813299,3.204549157,3.203063374,3.213011446,3.201888345,3.196911818,3.19267396
1,2,39.99938133,99.99845333,2998,25.58340828,38.68537652,0.066666667,25.304596,3.201996876,3.180474368,3.198525688,3.198353281,3.189084233,3.192573873,3.20647726,3.201845694
1,3,39.9989305,99.99732625,2997,25.67772262,-19.22633288,0.1,30.45381216,3.200814307,3.20245078,3.200741021,3.209942901,3.200987433,3.188334295,3.21304104,3.202962722
1,4,39.99842294,99.99605735,2996,25.78276358,37.57789062,0.133333333,27.45347307,3.19528597,3.189972786,3.203167314,3.199062624,3.212593174,3.197232742,3.193300954,3.20716637
1,5,39.99786854,99.99467135,2995,25.5719016,-5.501290417,0.166666667,27.12000499,3.207402255,3.201349211,3.205410856,3.199698503,3.201870921,3.209319927,3.205002547,3.198645804
1,6,39.99727371,99.99318428,2994,25.57190357,-12.19849637,0.2,30.86009259,3.2108189,3.181081157,3.216416586,3.186352327,3.194983257,3.19967266,3.198828155,3.208051288
1,7,39.99664301,99.99160753,2993,25.78950554,-35.97203784,0.233333333,25.76395624,3.191537307,3.202086135,3.195374303,3.202361128,3.199481822,3.200743485,3.195600601,3.195919488
1,8,39.99597988,99.9899497,2992,25.69209217,-35.77877937,0.266666667,25.97394319,3.20229818,3.207549724,3.195213765,3.19304986,3.204907681,3.199739969,3.206643985,3.192753622
1,9,39.99528703,99.98821757,2991,25.54366307,15.36090048,0.3,26.02680342,3.185764489,3.195735967,3.193869179,3.199369693,3.194905238,3.205928136,3.197694798,3.201203796
1,10,39.99456665,99.98641663,2990,25.66510721,-3.365680445,0.333333333,27.87783151,3.201261076,3.201559641,3.199806967,3.204084806,3.193634759,3.211195343,3.198107701,3.189507607
1,11,39.99382058,99.98455145,2989,25.54438988,-21.87826992,0.366666667,28.77693693,3.201504587,3.193190556,3.205322676,3.217676845,3.193707423,3.202658979,3.185955955,3.203631242
1,12,39.99305036,99.9826259,2988,25.54411243,9.117624506,0.4,29.33141584,3.19291429,3.195001323,3.191189708,3.20585721,3.208058435,3.200187082,3.193084586,3.212716184
1,13,39.99225732,99.98064331,2987,25.62903547,-19.77135054,0.433333333,32.62959157,3.193996719,3.182703742,3.203667112,3.191161803,3.20790887,3.196950898,3.204829706,3.211212003
1,14,39.99144263,99.97860657,2986,25.37040637,6.210540348,0.466666667,23.95102158,3.190329129,3.195472503,3.199394631,3.212300411,3.194732938,3.19524397,3.203825125,3.19538217
1,15,39.99060729,99.97651823,2985,25.39300986,-11.26330024,0.5,29.09572406,3.201220207,3.187587701,3.21771464,3.189218326,3.197425978,3.199740152,3.215301505,3.189401234
1,16,39.98975223,99.97438057,2984,25.5325255,25.88417813,0.533333333,26.99716497,3.215869633,3.206057415,3.203336763,3.192122931,3.20456913,3.194212107,3.21013329,3.192231504
1,17,39.98887824,99.9721956,2983,25.47846027,25.65569286,0.566666667,26.94445273,3.199094732,3.195557815,3.192099816,3.205930559,3.20428367,3.209672082,3.185760999,3.208513366
1,18,39.98798606,99.96996515,2982,25.63770968,-1.81196815,0.6,26.88441017,3.220043591,3.196386871,3.215161189,3.19789471,3.189020722,3.19755494,3.208385632,3.193294588
1,19,39.98707636,99.9676909,2981,25.49103711,-11.93447125,0.633333333,26.36421459,3.195197291,3.204748315,3.200024481,3.204676984,3.201902636,3.203837003,3.196541591,3.201853848
1,20,39.98614974,99.96537434,2980,25.43052356,-10.99521628,0.666666667,31.0321447,3.192581016,3.210307469,3.194925802,3.20903078,3.198131144,3.201615992,3.196040284,3.191872037
1,21,39.98520675,99.96301687,2979,25.77587785,24.45716205,0.7,29.51613519,3.186041917,3.191557407,3.197408729,3.201695033,3.208083035,3.19643394,3.192944314,3.188458282
1,22,39.98424791,99.96061978,2978,25.57290684,-13.74564138,0.733333333,28.04175276,3.203840509,3.211065556,3.210130642,3.205679462,3.205108347,3.21358099,3.202656652,3.205169037
1,23,39.98327369,99.95818423,2977,25.60810338,-23.2752501,0.766666667,30.43182835,3.197433729,3.189103653,3.194529209,3.199926728,3.200486283,3.215410287,3.200650217,3.209430748
1,24,39.98228453,99.95571132,2976,25.42903022,-33.22493265,0.8,25.27744786,3.196519382,3.197506593,3.189367939,3.194061376,3.204215851,3.200060481,3.207543509,3.201450032
1,25,39.98128083,99.95320208,2975,25.53467407,-2.664550329,0.833333333,25.60473076,3.19718037,3.217186375,3.199248771,3.209304008,3.196790326,3.205676796,3.207424125,3.201667936
1,26,39.98026298,99.95065745,2974,25.61331071,-1.429432086,0.866666667,24.07965808,3.181164137,3.20014602,3.20984368,3.204219847,3.203566711,3.186221945,3.194236359,3.203290861
1,27,39.97923133,99.94807833,2973,25.46188077,27.27269683,0.9,26.74105383,3.203283066,3.209717334,3.198841066,3.203246593,3.200130994,3.192104458,3.181953669,3.203448078
1,28,39.97818622,99.94546555,2972,25.64508376,-22.30090428,0.933333333,28.29105735,3.201391578,3.1950546,3.187046616,3.205037916,3.197872639,3.204454998,3.214912388,3.182868553
1,29,39.97712796,99.94281991,2971,25.52792336,-9.520698107,0.966666667,28.18514544,3.194403194,3.198324995,3.211638609,3.186908776,3.215486888,3.201086847,3.199231995,3.198415522
1,30,39.97605685,99.94014213,2970,25.56499675,24.67245911,1,28.26881544,3.196509896,3.208384934,3.191451834,3.202763313,3.196926547,3.193902932,3.220687801,3.203352406
1,31,39.97497317,99.93743293,2969,25.52779521,25.88988886,1.033333333,25.4600977,3.204906124,3.209102214,3.1886292,3.214018335,3.179928343,3.193849869,3.196327747,3.204653787
1,32,39.97387718,99.93469296,2968,25.82227338,-9.231113922,1.066666667,29.44567854,3.201749746,3.198665482,3.199904021,3.192175816,3.188022141,3.205812093,3.205549649,3.212675955
1,33,39.97276914,99.93192285,2967,25.59838033,-3.270078137,1.1,28.43132953,3.193679863,3.205542522,3.197730346,3.2095238,3.208175702,3.201689675,3.197283759,3.207687457
1,34,39.97164928,99.9291232,2966,25.47307469,-15.73712873,1.133333333,29.31949771,3.205175236,3.194524477,3.189377611,3.197691737,3.212123311,3.209171897,3.19110138,3.190657941
1,35,39.97051783,99.92629458,2965,25.69870539,34.60439027,1.166666667,24.59302808,3.210197471,3.190914913,3.204074363,3.19507143,3.212936359,3.193836602,3.209146892,3.201478869
1,36,39.96937501,99.92343753,2964,25.45349876,-30.50849874,1.2,28.56068355,3.202017559,3.184237531,3.182376693,3.198235472,3.201975249,3.190998417,3.191290453,3.204491781
1,37,39.96822103,99.92055256,2963,25.62506363,34.69995384,1.233333333,25.86202257,3.204502836,3.198898072,3.206241614,3.190606382,3.197152521,3.213183021,3.200546577,3.2010105
1,38,39.96705607,99.91764017,2962,25.36483959,14.70931615,1.266666667,27.28481815,3.218447573,3.188805263,3.206371443,3.21331189,3.197401137,3.206877046,3.192143844,3.194506141
1,39,39.96588033,99.91470083,2961,25.44061767,2.525772215,1.3,28.96185682,3.203079731,3.206388533,3.208967492,3.212557029,3.199460428,3.209548894,3.197261561,3.20721673
1,40,39.964694,99.911735,2960,25.62362335,-37.38727514,1.333333333,28.16396849,3.20165991,3.203565423,3.203388063,3.18716236,3.191007025,3.200820332,3.186501767,3.206649689
1,41,39.96349724,99.90874309,2959,25.68861599,-1.952304654,1.366666667,26.46722804,3.206972448,3.202617364,3.191030928,3.211041112,3.216297685,3.201176615,3.204084283,3.201613909
1,42,39.96229021,99.90572553,2958,25.62056419,-7.3801516,1.4,28.01129168,3.204242954,3.19904353,3.199723486,3.207245741,3.218764993,3.18879943,3.1991695,3.190556316
1,43,39.96107309,99.90268272,2957,25.58612221,-27.10249504,1.433333333,25.24323643,3.212736199,3.195298096,3.188454394,3.205105496,3.213954489,3.205308783,3.201638383,3.203273127
1,44,39.95984601,99.89961503,2956,25.56386756,12.51276828,1.466666667,30.07048131,3.211318725,3.193006406,3.199105223,3.196378479,3.190657078,3.197372998,3.208861769,3.204532817
1,45,39.95860914,99.89652285,2955,25.42257736,37.69207259,1.5,27.63048876,3.205154484,3.201171805,3.20418659,3.193595277,3.197523921,3.201536034,3.202220127,3.202561503
1,46,39.95736261,99.89340652,2954,25.51361869,4.975104885,1.533333333,30.0133899,3.198893318,3.196980613,3.22526217,3.207254298,3.20330518,3.198134332,3.196390249,3.198953595
1,47,39.95610656,99.89026639,2953,25.54472335,17.18026212,1.566666667,27.05224296,3.202342631,3.184956516,3.187444883,3.194904941,3.201657115,3.198085815,3.21182497,3.188140826
1,48,39.95484111,99.88710278,2952,25.72685467,-34.52396379,1.6,27.05756322,3.193989236,3.212160734,3.201048955,3.207078741,3.216409976,3.194449565,3.199205485,3.197820585
1,49,39.95356641,99.88391603,2951,25.64123419,-6.586640335,1.633333333,26.62446378,3.184363256,3.197516826,3.207048497,3.204324716,3.204952665,3.196995928,3.194751222,3.210154045
1,50,39.95228257,99.88070642,2950,25.38843518,-30.69132119,1.666666667,29.57711308,3.196021463,3.202352656,3.201306677,3.211693736,3.207771299,3.189637931,3.190499575,3.204631279
1,51,39.95098971,99.87747427,2949,25.63889008,9.023666843,1.7,26.72302392,3.199485299,3.196358626,3.208125023,3.201499675,3.200419659,3.206238629,3.196999128,3.212548152
1,52,39.94968794,99.87421986,2948,25.55379013,35.07857266,1.733333333,29.16027178,3.193695619,3.205255433,3.211470663,3.188981636,3.197253319,3.209137659,3.209257956,3.198628035
1,53,39.94837739,99.87094347,2947,25.51876936,12.9422186,1.766666667,27.31158568,3.194122631,3.207647487,3.209468393,3.190682693,3.190368691,3.201802053,3.205034885,3.197607447
1,54,39.94705815,99.86764537,2946,25.67340115,-33.85575613,1.8,24.44326606,3.205434351,3.194318907,3.183082451,3.196608791,3.200505857,3.19779328,3.190731174,3.185474808
1,55,39.94573033,99.86432582,2945,25.72371994,-11.6267036,1.833333333,26.97343468,3.19588729,3.207181246,3.21004958,3.209501707,3.193472724,3.190770349,3.203973077,3.2050808
1,56,39.94439403,99.86098509,2944,25.71175361,4.053070355,1.866666667,25.87760521,3.203201357,3.183887494,3.193064923,3.19976249,3.203897746,3.206138459,3.201154028,3.20264627
1,57,39.94304936,99.8576234,2943,25.4992939,-7.743379509,1.9,28.0610249,3.200678924,3.205484955,3.202502925,3.200525901,3.19785305,3.200650331,3.203876731,3.202139803
1,58,39.9416964,99.85424101,2942,25.56289451,26.69152084,1.933333333,25.85726608,3.203046611,3.210741775,3.202121311,3.194808012,3.207068854,3.189070413,3.191348693,3.202686778
1,59,39.94033526,99.85083814,2941,25.63975161,25.17368038,1.966666667,29.66675518,3.204131173,3.19003959,3.19693746,3.195151329,3.196106589,3.207548782,3.205652044,3.199847023
1,60,39.93896601,99.84741503,2940,25.71706542,8.946481608,2,27.83606345,3.195632305,3.189202803,3.21136148,3.204736911,3.194346647,3.205756796,3.199438211,3.197703124
1,61,39.93758876,99.84397189,2939,25.54249909,-10.12336439,2.033333333,27.68032721,3.203481692,3.194068014,3.197249948,3.200971689,3.19600439,3.205352682,3.214952532,3.193965615
1,62,39.93620358,99.84050894,2938,25.57772092,-19.5730901,2.066666667,29.18060585,3.186678998,3.183986079,3.198796255,3.194694683,3.201662884,3.201060781,3.187174265,3.185480929
1,63,39.93481055,99.83702638,2937,25.4672398,-31.53005454,2.1,29.73503248,3.202367466,3.201083431,3.196593456,3.186742851,3.20377113,3.210175196,3.20222386,3.193220209
1,64,39.93340977,99.83352442,2936,25.45645521,-11.60818532,2.133333333,27.96382225,3.200356417,3.189071087,3.208463686,3.200654755,3.185854745,3.197594605,3.203706412,3.197335619
1,65,39.9320013,99.83000326,2935,25.6975031,-6.946198623,2.166666667,26.61183946,3.197792834,3.190204782,3.204532328,3.194812246,3.182748437,3.197029941,3.207849198,3.196904564
1,66,39.93058523,99.82646308,2934,25.7627488,14.06583401,2.2,24.80685469,3.21390388,3.203431744,3.202710065,3.198972814,3.19945371,3.197892611,3.197581845,3.204246937
1,67,39.92916163,99.82290408,2933,25.59135879,12.65278594,2.233333333,26.76511044,3.19251335,3.191392849,3.19101444,3.216365236,3.204242743,3.202435938,3.191539883,3.204986738
1,68,39.92773058,99.81932644,2932,25.72042395,-34.39134883,2.266666667,26.88901796,3.199067429,3.201713352,3.192187037,3.201282151,3.196609332,3.193875111,3.205872851,3.187698338
1,69,39.92629214,99.81573034,2931,25.64339632,-8.379254766,2.3,28.19270342,3.20451821,3.205475889,3.192962851,3.193437372,3.198215795,3.20225629,3.19877716,3.2034685
1,70,39.92484638,99.81211595,2930,25.52258563,-25.45769062,2.333333333,27.37873561,3.214103837,3.195938266,3.18627856,3.206607389,3.213466517,3.203142147,3.191298011,3.199008861
1,71,39.92339338,99.80848344,2929,25.64336747,-27.45498357,2.366666667,29.23827935,3.191051812,3.205142844,3.189189677,3.19759897,3.191965297,3.201014597,3.197069267,3.201414097
1,72,39.92193319,99.80483298,2928,25.78456439,26.18417198,2.4,26.89663011,3.200178804,3.192106728,3.205015017,3.199609875,3.192091768,3.217927412,3.203811441,3.198773916
1,73,39.92046589,99.80116473,2927,25.59570088,-36.64678266,2.433333333,27.8973259,3.211321636,3.214734525,3.198837205,3.20277918,3.192095977,3.198822458,3.1984075,3.201478616
1,74,39.91899154,99.79747885,2926,25.78775724,-6.465369928,2.466666667,30.1311774,3.202662084,3.204478628,3.201901141,3.190314059,3.192492263,3.195628739,3.197742075,3.208406194
1,75,39.9175102,99.7937755,2925,25.28563059,-26.54370754,2.5,28.61528539,3.190696488,3.19714068,3.207624076,3.19760098,3.203683325,3.198883664,3.202054266,3.19817222
1,76,39.91602193,99.79005482,2924,25.6986283,30.34641725,2.533333333,27.89193242,3.205336524,3.187639549,3.197093504,3.202372581,3.204269562,3.211943621,3.196871803,3.211835854
1,77,39.91452679,99.78631697,2923,25.61044565,4.563241062,2.566666667,26.9165,3.194727809,3.210629171,3.206539737,3.192692331,3.202456314,3.199590113,3.205004677,3.198213827
